"ID,"ДАТА","ТИП","СО СЧЁТА","НА СЧЁТ / НА КАТЕГОРИЮ","СУММА","ВАЛЮТА","СУММА 2","ВАЛЮТА 2","МЕТКИ","ЗАМЕТКИ"
"1","12.04.2022","Расход","Радуга 🌈","Еда и хозяйство","56.16","PRB","56.16","PRB","В шериф сходил, купил поесть"
"2","12.04.2022","Доход","Радуга 🌈","Зарплата","815","PRB","815","PRB","Перевёл баксы"
"3","11.04.2022","Расход","Радуга 🌈","Еда и хозяйство","35.1","PRB","35.1","PRB",""
"4","11.04.2022","Расход","Радуга 🌈","Еда и хозяйство","13.8","PRB","13.8","PRB","Местный магаз"
"5","11.04.2022","Расход","Радуга 🌈","Семья","21.5","PRB","21.5","PRB","Папка и творог Юленьке"
